RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,twoP_O,twoP_D,threeP_O,threeP_D,ADJ_T,WAB
163,Fresno St.,MWC,29,11,104.6,104,0.5186,49.8,49.7,19.4,15.4,30.5,26.5,29.5,28.2,49,46.3,33.7,36.3,64.2,-11
164,South Alabama,SB,28,20,104.3,103.6,0.5185,51.4,51.5,18.3,20.1,25.5,29.6,40.6,26.6,52.2,50.6,33,34.9,65.4,-5.8
165,Old Dominion,CUSA,32,13,98.6,98,0.5177,45.3,48.1,18.1,18.5,30.8,21.7,28.8,34,46,46,29.3,33.8,66.4,-11.4
166,Toledo,MAC,31,17,106.2,105.6,0.517,50.9,48.7,17.6,16.2,27.8,27.7,36.7,26.5,47.9,46.6,36.8,34.9,67.9,-8.9
167,Boston College,ACC,32,13,99.7,99.2,0.5169,46.5,50.5,19.6,20.8,25.4,30.7,29.1,29.9,46.7,50.8,30.8,33.4,69.3,-7
168,Valparaiso,MVC,34,19,103.5,102.9,0.5149,50.7,51.8,18.1,20,26.1,27.4,26.8,31.7,50.4,50.3,34,36.5,69.3,-7.5
169,Winthrop,BSth,32,24,103.6,103.1,0.5136,53,50.7,19.1,20,34.8,24.1,36.3,41.9,54.1,52,34.4,32.3,71.8,-4.9
170,Portland St.,BSky,30,18,108.8,108.4,0.512,49.6,52.9,17.7,20.3,35.9,34.3,30.8,32.1,49.2,53.3,33.8,34.6,71.6,-8.4
171,Western Carolina,SC,29,19,106.7,106.5,0.505,54.6,50.5,19.8,16.5,28.4,25.6,38.4,31.2,54,53,36.8,31.3,71.4,-5.3
172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
173,George Mason,A10,32,17,101,101.2,0.4949,47.6,49.6,20.1,18.9,33.1,27.8,34.4,30.6,48.7,50.9,30.4,31.5,66.9,-6.9
174,College of Charleston,CAA,30,17,104.2,104.4,0.4938,51.1,49.1,16.3,17.7,22.7,29.3,32.3,32.5,50.3,48.7,34.9,33.2,65.8,-7.4
175,Northern Kentucky,Horz,30,23,100.8,101.1,0.4914,49.5,46.5,18,20.2,29.7,31.9,33.4,31,52.4,47.7,30.6,29.6,65.6,-4.2
176,Boston University,Pat,33,21,102.6,103.1,0.4856,51.3,49.7,16.9,17.2,29.4,25.1,27.3,26.1,53,49.9,32.2,32.8,66.3,-7.7
